deck_id,name,type_line,cmc,mana_cost,w,u,b,r,g,c,x_count,phi_life_opt,hybrid_opts,effects_line,is_commander,mana_production,card_draw,manual_tags,generated_effect_tags
moxfield_export_1,"Adeline, Resplendent Cathar",Legendary Creature — Human Knight,3,{1}{W}{W},2,0,0,0,0,1,0,0,,"Vigilance Adeline's power is equal to the number of creatures you control. Whenever you attack, for each opponent, create a 1/1 white Human creature token that's tapped and attacking that player or a planeswalker they control.",False,0,0,"['token', 'vigilance']","['Token Archetype', 'Aggressive Planeswalker']"
moxfield_export_1,"Adriana, Captain of the Guard",Legendary Creature — Human Knight,5,{3}{R}{W},1,0,0,1,0,3,0,0,,"Melee (Whenever this creature attacks, it gets +1/+1 until end of turn for each opponent you attacked this combat.) Other creatures you control have melee. (If a creature has multiple instances of melee, each triggers separately.)",False,0,0,['end-step'],"['Aggressive', 'Brawler']"
moxfield_export_1,Agadeem's Awakening,Sorcery // Land,3,,0,0,3,0,0,0,0,0,,Return from your graveyard to the battlefield any number of target creature cards that each have a different mana value X or less.,False,0,0,['graveyard'],"['Graveyard Ritual', 'Mana Drain']"
moxfield_export_1,Akroma's Will,Instant,4,{3}{W},1,0,0,0,0,3,0,0,,"Choose one. If you control a commander as you cast this spell, you may choose both instead. • Creatures you control gain flying, vigilance, and double strike until end of turn. • Creatures you control gain lifelink, indestructible, and protection from each color until end of turn.",False,0,0,"['double-strike', 'end-step', 'flying', 'indestructible', 'lifelink', 'protection', 'vigilance']","['Aggressive Commander', 'Protean Commander']"
moxfield_export_1,Anthem of Rakdos,Enchantment,5,{2}{B}{R}{R},0,0,1,2,0,2,0,0,,"Whenever a creature you control attacks, it gets +2/+0 until end of turn and this enchantment deals 1 damage to you. Hellbent — As long as you have no cards in hand, if a source you control would deal damage to a permanent or player, it deals double that damage to that permanent or player instead.",False,0,0,"['enchant', 'end-step']","['Rakdos Deathrattle', 'Hellbent']"
moxfield_export_1,Arcane Signet,Artifact,2,{2},0,0,0,0,0,2,0,0,,{T}: Add one mana of any color in your commander's color identity.,False,0,0,['graveyard'],"['Graveyard Ritual', 'Mana Drain']"
moxfield_export_1,Archon of Emeria,Creature — Archon,3,{2}{W},1,0,0,0,0,2,0,0,,Flying Each player can't cast more than one spell each turn. Nonbasic lands your opponents control enter tapped.,False,0,0,['flying'],"['Flying Archetype', 'Disruption Archetype']"
moxfield_export_1,"Aurelia, the Warleader",Legendary Creature — Angel,6,{2}{R}{R}{W}{W},2,0,0,2,0,2,0,0,,"Flying, vigilance, haste Whenever Aurelia attacks for the first time each turn, untap all creatures you control. After this phase, there is an additional combat phase.",False,0,0,"['flying', 'haste', 'vigilance']","['Aggressive', 'Combo']"
moxfield_export_1,Aven Mindcensor,Creature — Bird Wizard,3,{2}{W},1,0,0,0,0,2,0,0,,"Flash Flying If an opponent would search a library, that player searches the top four cards of that library instead.",False,0,0,"['flash', 'flying', 'tutor']","['Tutor', 'Search']"
moxfield_export_1,Battlefield Forge,Land,0,,0,0,0,0,0,0,0,0,,{T}: Add {C}. {T}: Add {R} or {W}. This land deals 1 damage to you.,False,{W}{R},0,['tap-ability'],"['Mana Leak', 'Tap-Out']"
moxfield_export_1,Blood Crypt,Land — Swamp Mountain,0,,0,0,0,0,0,0,0,0,,"({T}: Add {B} or {R}.) As this land enters, you may pay 2 life. If you don't, it enters tapped.",False,{B}{R},0,['tap-ability'],"['Bloodline Initiate', 'Bloodline Crawler']"
moxfield_export_1,Boros Signet,Artifact,2,{2},0,0,0,0,0,2,0,0,,"{1}, {T}: Add {R}{W}.",False,{Any},0,"['end-step', 'haste', 'sacrifice', 'token', 'tap-ability']","['Aggressive Tron', 'Treasure Hunter']"
moxfield_export_1,"Breena, the Demagogue",Legendary Creature — Bird Warlock,3,{1}{W}{B},1,0,1,0,0,1,0,0,,"Flying Whenever a player attacks one of your opponents, if that opponent has more life than another of your opponents, that attacking player draws a card and you put two +1/+1 counters on a creature you control.",False,0,0,['flying'],"['Aggressive', 'Control']"
moxfield_export_1,"Brimaz, King of Oreskos",Legendary Creature — Cat Soldier,3,{1}{W}{W},2,0,0,0,0,1,0,0,,"Vigilance Whenever Brimaz attacks, create a 1/1 white Cat Soldier creature token with vigilance that's attacking. Whenever Brimaz blocks a creature, create a 1/1 white Cat Soldier creature token with vigilance that's blocking that creature.",False,0,0,"['token', 'vigilance']","['Token Archetype', 'Blocking Archetype']"
moxfield_export_1,Captain Lannery Storm,Legendary Creature — Human Pirate,3,{2}{R},0,0,0,1,0,2,0,0,,"Haste Whenever Captain Lannery Storm attacks, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."") Whenever you sacrifice a Treasure, Captain Lannery Storm gets +1/+0 until end of turn.",False,{Any},0,"['end-step', 'haste', 'sacrifice', 'token', 'tap-ability']","['Token Slinger', 'Treasure Hunter']"
moxfield_export_1,Castle Embereth,Land,0,,0,0,0,0,0,0,0,0,,"This land enters tapped unless you control a Mountain. {T}: Add {R}. {1}{R}{R}, {T}: Creatures you control get +1/+0 until end of turn.",False,{R},0,"['end-step', 'tap-ability']","['Embereth Ramp', 'Ramp']"
moxfield_export_1,Caves of Koilos,Land,0,,0,0,0,0,0,0,0,0,,{T}: Add {C}. {T}: Add {W} or {B}. This land deals 1 damage to you.,False,0,0,['flying'],"['Aggressive', 'Swarm']"
